Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,38.803,37.936,37.342,36.927,36.466
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.718,11.289,10.87,10.517,10.343
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.405,25.166,24.755,24.074,23.298
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,..,16.6,..,..
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,8.8,..,7.2,7
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,42.02,41.377,40.81,40.236,39.725
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.591,11.659,11.789,10.816,11.485
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.346,16.824,16.206,15.187,14.783
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.641,14.504,13.606,13.307,12.892
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.428,12.3,11.53,9.881,9.138
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.9,12.9,12.6,12.6,12.1
Austria,AUT,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.8,10,10,9.7,9.6
Azerbaijan,AZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.2,16.3,14.6,14,14.1
"Bahamas, The",BHS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.812,12.188,11.653,11.566,11.487
Bahrain,BHR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.791,15.181,14.506,13.818,13.198
Bangladesh,BGD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,19.158,19.002,18.495,18.462,18.35
