Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.331,7.077,7.027,6.981,6.791
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.947,8.035,8.15,8.308,8.48
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.437,4.472,4.542,4.482,4.392
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,..,5.1,..,..
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..,4.3,..,4.4,3.9
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.826,8.555,8.242,7.99,7.811
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.649,5.662,5.746,5.787,5.865
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.543,7.947,7.692,7.68,7.6
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.607,9.634,9.664,9.75,9.662
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.968,8.336,8.414,8.597,8.778
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.6,6.6,6.5,6.3,6.7
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.6,9.2,9.5,9.5,9.4
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.7,5.8,5.8,5.8,5.6
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.724,6.717,6.84,6.935,7.943
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.109,2.071,2.039,1.992,2
