Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,592.476164793256,520.251954939821,530.14986261654,502.057099211089,500.52298078433
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,3952.80358410846,4124.05538986272,4531.03220675893,5287.66081699731,5396.21422690995
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4197.41997101868,3967.20065952107,4134.93609898195,4171.79530903532,4021.98360796603
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,13101.5418159165,13300.8246114811,12372.8847825647,13195.9358995539,13672.576657298
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,38885.5303237179,39931.2169819106,40632.2315536054,42904.8284555114,41328.6004993451
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3100.83068530533,1709.51553404553,2283.21423255725,2487.50099555267,2142.23875712854
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14861.8827074704,15862.6516627488,16110.31239978,17514.3558637327,18187.7797117112
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13789.060424772,12790.2640639201,14613.035714704,11795.1628852236,9963.67423069626
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3666.14182536082,3679.95234910427,4041.99507231389,4391.92327364082,4828.50488860645
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,28421.3864931862,28451.2737445083,29326.7080582111,30918.5152176932,31902.7625819564
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,56708.96119674,49876.7123761245,53934.1543741253,57206.9906696898,54941.0657202842
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,44195.8175947748,45307.5878620442,47429.1584564391,51466.5565633624,50070.4033482892
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5500.50462041954,3880.68626683773,4147.19861886412,4739.79524170312,4805.75371765917
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,29724.9533355233,29675.5358910641,30708.9870181946,31483.9788408235,32279.0113630465
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,22795.4488576612,22867.1811196134,24349.9098701325,25415.8466249472,25869.1129129041
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1236.00439770048,1659.96248898672,1815.61019133661,1963.41270740562,2122.0783861524
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,16990.2194668498,17343.7254395315,17843.1979282703,18224.8905923744,19002.9623813263
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5967.0691848005,5039.77603167897,5785.53497525452,6360.05206042843,6837.76723174438
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,41008.296719472,42012.6227191027,44198.4823908695,47544.9811472749,46641.7116578097
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,6142.47883269283,6148.70696109313,6100.99468097883,6059.16255306675,6210.56554311929
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1041.65252315982,1049.82030349922,1095.27445905127,1194.43821427137,1170.96553298105
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,102005.62564189,106885.878489327,111820.581466347,113050.73688163,116153.166121638
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2695.63690417126,2879.54657217991,3240.70632594822,3210.70781406979,3303.96230868215
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,2975.64881143063,3013.50270721666,3280.0082139387,3471.0069506501,3472.38083136442
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4654.60955224718,4917.26369838618,5327.39318443711,6024.49154590957,6094.72321376258
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,5869.73777207249,6411.55166554553,6705.34106167973,6947.81784114167,6691.16105117407
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8783.21441310718,8680.73542054827,9896.7175109967,9121.02009249958,8845.3239312417
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,30681.4374376753,26762.0374289176,28186.9833864683,31241.0239732766,30748.3201899098
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,7081.10233572915,7574.19126408348,8386.58920224077,9451.850869564,9878.76887237072
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,632.126685840944,665.786328528158,711.184543938412,779.202768060739,772.166877547544
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,289.359627144769,242.539527360495,244.145422138192,232.060616581243,216.972970864849
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3169.0789154116,3312.69675666873,3534.34358304479,3860.45481136132,3928.30909558631
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1170.74281578324,1281.10597109735,1400.89926526097,1533.31598456036,1671.38540009767
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1399.67533596847,1426.06548098045,1479.86222292155,1594.06010909489,1538.68791202148
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43596.1355365546,42315.6037056806,45129.4292980922,46547.7951820036,46374.1527517191
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,77295.8456647776,78858.2796562866,81255.1122691866,85231.7751511594,89846.3210991824
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,351.879754779905,372.135456053456,414.740322572797,435.93229629544,426.408752988942
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,774.411603146897,691.98007735414,662.89747343383,720.265100910693,701.621200811434
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,..,58093.9960625367,57683.8938973128,62316.2199488315,61281.3272247009
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,13569.9481274733,13785.6875977318,15045.5278507601,15795.7081412484,14627.14501648
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8016.44601585644,8094.39037512163,8817.04549566316,9905.4061175104,10143.8602060373
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6228.65162186096,5936.26102166829,6449.97098726073,6782.0379203319,6436.50921529531
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1322.93677460001,1357.26622888841,1414.58668930426,1531.33781085768,1510.7973226286
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,482.064568490893,456.027950503848,451.089088632243,546.212593331533,575.882781272568
