Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,39.26,..,..
Albania,ALB,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,31.3,31.65,31.61,35.69,36.59
Algeria,DZA,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,25.19,24.61,26.42,..,..
American Samoa,ASM,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Andorra,AND,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Angola,AGO,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,54.39
Antigua and Barbuda,ATG,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Argentina,ARG,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,38.96,39.41,39
Armenia,ARM,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,39.47,34.65,35.12,41.09,43.76
Aruba,ABW,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Australia,AUS,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,67.26,66.79,66.89,67.85,68.12
Austria,AUT,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,56.5,56.66,54.94,55.81,55.48
Azerbaijan,AZE,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
"Bahamas, The",BHS,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Bahrain,BHR,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,43.14,..,..,..,..
Bangladesh,BGD,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,38.04,40.46,..,..
Barbados,BRB,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,42.4,43.77,41.37,44.2,44.4
Belarus,BLR,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,47.85,48.37,45.97,44.82
Belgium,BEL,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,30,28.46,28.08,29.63,30.98
Belize,BLZ,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,46.13,46.37,46.93,..,54.03
Benin,BEN,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,32.75,..
Bermuda,BMU,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Bhutan,BTN,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,29.62,..,..,26.12,26.6
Bolivia,BOL,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,44.08,43.54,44.54,49.61,53.7
Bosnia and Herzegovina,BIH,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,32.1,30.21,32.19,32.11,34.88
Botswana,BWA,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,35.63
Brazil,BRA,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,54.93,55.15,56.03,56.14,57.04
British Virgin Islands,VGB,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Brunei Darussalam,BRN,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,39.29,40.66,39.28
Bulgaria,BGR,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,25.96,23.89,26.3,23.69,23.91
Burkina Faso,BFA,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,25.54,..
Burundi,BDI,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Cabo Verde,CPV,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,45.37,..,35.78,32.6,31.79
Cambodia,KHM,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,71.86,72.93,71.62,..,59.67
Cameroon,CMR,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Canada,CAN,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,65.48,64.78,65.27,64.84,65.77
Cayman Islands,CYM,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,55.39,..,..,..,..
Central African Republic,CAF,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,..,..
Chad,TCD,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,..,..,..,38.51,..
